track_name,artist_name,album_name,album_type,release_year,explicit,played_at,duration_mins,song_genre
Forever - Extended Version,TOOTIMES,Hybride,album,2025,False,2026-05-14 17:25:34.572,4.59,House
UNI,Rene Blue,UNI,single,2026,False,2026-05-14 17:03:23.425,3.63,Dance
Tera Chehra,Adnan Sami,Tera Chehra,album,2002,False,2026-05-13 20:14:24.267,6.54,Indian Pop
Tera Chehra,Adnan Sami,Tera Chehra,album,2002,False,2026-05-13 16:20:29.203,6.54,Indian Pop
Say It Right,Luke Muzzic,Say It Right,single,2024,False,2026-05-13 10:23:49.603,3.71,Pop
Children,Robert Miles,Children (Dance Vault Mixes),single,1996,False,2026-05-13 10:23:45.058,4.05,Dance
Turn The Lights Off,Kato,Discolized,album,2010,False,2026-05-13 10:23:44.785,2.96,Dance
Tell Me Why - Radio Edit,Supermode,Tell Me Why,single,2006,False,2026-05-13 10:23:44.755,2.9,Dance
Escanor theme,Crystilo,Escanor theme,single,2014,False,2026-05-13 10:23:44.198,2.1,Instrumental
Escanor theme,Crystilo,Escanor theme,single,2014,False,2026-05-13 10:23:43.098,2.1,Instrumental
Escanor theme,Crystilo,Escanor theme,single,2014,False,2026-05-12 03:12:45.147,2.1,Instrumental
Say It Right,Luke Muzzic,Say It Right,single,2024,False,2026-05-11 18:32:33.239,3.71,Pop
Say It Right,Luke Muzzic,Say It Right,single,2024,False,2026-05-11 18:28:38.307,3.71,Pop
Say It Right,Luke Muzzic,Say It Right,single,2024,False,2026-05-11 18:21:10.508,3.71,Pop
Say It Right - 8D Audio,Luke Muzzic,Say It Right,single,2024,False,2026-05-11 17:48:54.616,3.71,Pop
Children,Robert Miles,Children (Dance Vault Mixes),single,1996,False,2026-05-11 17:38:29.291,4.05,Dance
Turn The Lights Off,Kato,Discolized,album,2010,False,2026-05-10 18:19:43.286,2.96,Dance
Tell Me Why - Radio Edit,Supermode,Tell Me Why,single,2006,False,2026-05-10 18:16:43.259,2.9,Dance
NEVER REALLY MATTERED,Akon,NEVER REALLY MATTERED,single,2025,False,2026-05-10 16:01:06.946,3.33,R&B/Soul
Obvious,Chris Brown,Obvious,single,2026,True,2026-05-09 21:25:58.638,3.1,R&B/Soul
Echo,The Chainsmokers,Echo,single,2026,False,2026-05-09 21:22:58.501,3.66,Dance
State Lines,Novo Amor,Birthplace,album,2018,False,2026-05-09 21:19:28.351,3.48,Alternative
I'll Do It,Heidi Montag,Superficial,album,2010,False,2026-05-09 21:15:58.592,3.51,Pop
I'll Do It,Heidi Montag,Superficial,album,2010,False,2026-05-09 21:12:28.219,3.51,Pop
Bounce,Shubh,Chapter IV,single,2026,False,2026-05-09 21:08:58.193,2.38,Hip-Hop
O Mere Khuda,Atif Aslam,Prince (Original Motion Picture Soundtrack),album,2010,False,2026-05-09 21:06:29.121,3.38,Bollywood
You're U Tho,Karan Aujla,P-POP CULTURE,album,2025,False,2026-05-09 21:02:58.933,3.06,Pop
Kangna,Dr Zeus,Unda Da Influence,album,2003,False,2026-05-09 20:59:58.556,3.51,Worldwide
